Month_Year,Average_Review_Score,Number_of_Reviews,Percentage_Positive_Reviews,Complaints_Count
January 2022,9.15,42,94.88,6
February 2022,8.99,45,87.44,5
March 2022,,51,86.06,5
April 2022,9.44,49,94.64,0
May 2022,8.56,55,85.4,2
June 2022,,42,93.79,5
July 2022,9.29,46,99.1,5
August 2022,8.35,44,93.63,1
September 2022,9.88,41,90.82,4
October 2022,9.91,25,94.65,3
November 2022,9.83,52,91.87,2
December 2022,8.74,36,93.18,2
January 2023,8.03,51,99.12,2
February 2023,9.86,47,90.79,6
March 2023,8.86,30,99.42,4
April 2023,9.93,46,98.58,1
May 2023,9.93,45,87.94,1
June 2023,9.71,51,86.04,1
July 2023,8.59,44,86.51,5
August 2023,8.77,53,85.27,3
September 2023,9.7,43,86.42,1
October 2023,8.63,37,95.25,3
November 2023,8.34,46,86.07,6
December 2023,9.11,48,89.78,2
January 2024,9.87,46,97.67,5
February 2024,9.39,43,85.35,2
March 2024,9.14,42,97.22,1
April 2024,,29,89.23,7
May 2024,9.23,53,86.77,8
June 2024,9.98,44,95.45,0
July 2024,8.28,45,94.43,3
August 2024,9.04,38,98.16,6
September 2024,9.75,43,96.03,1
October 2024,9.48,48,97.05,9
November 2024,9.39,42,89.23,3
December 2024,9.4,45,87.66,3
