Month_Year,Number_of_Guests,Occupancy_Rate_Percent,Average_Room_Price_EUR,Spa_Revenue_EUR,Restaurant_Revenue_EUR,Total_Revenue_EUR
January 2022,313,87.67,156.98,10516.75,31778.67,91430.16
February 2022,2500,60.69,206.78,14484.59,36913.31,120255.64
March 2022,299,37.77,304.5,14502.95,36612.59,142161.04
April 2022,325,76.36,315.18,13036.62,33396.27,148866.39
May 2022,340,79.45,101.74,6354.35,29260.95,70206.9
June 2022,301,66.48,227.69,17529.54,12524.2,98588.43
July 2022,309,80.11,204.35,,14848.86,87804.71
August 2022,316,62.1,155.53,,36956.63,93901.89
September 2022,2500,63.98,129.97,5611.63,28192.87,76174.72
October 2022,309,57.79,184.4,13863.39,10275.91,81118.9
November 2022,318,31.65,335.73,15163.47,13044.15,134969.76
December 2022,303,37.01,180.8,5248.82,29905.05,89936.27
January 2023,325,32.04,229.7,12681.4,10151.85,97485.75
February 2023,325,71.37,275.75,8397.44,14824.24,112840.43
March 2023,310,50.43,190.91,,26462.01,100321.7
April 2023,2500,63.06,342.95,7615.5,30756.86,151545.86
May 2023,296,88.99,340.61,15364.07,29558.84,145743.47
June 2023,307,46.2,162.95,,16728.08,77554.76
July 2023,310,56.67,224.31,19050.95,31365.38,119952.43
August 2023,322,79.11,175.22,7062.81,17117.47,80601.12
September 2023,356,44.87,171.21,10116.0,19761.99,90828.75
October 2023,325,35.0,109.22,6702.1,32394.74,74593.34
November 2023,291,48.83,252.39,18870.4,29488.99,121804.88
December 2023,277,40.48,225.67,18160.09,35476.7,116147.38
January 2024,314,90.43,112.87,8869.12,29728.39,74038.69
February 2024,339,82.53,169.66,14899.76,27049.26,99463.76
March 2024,308,71.17,327.07,17258.33,12810.24,130806.13
April 2024,298,86.64,159.89,13328.01,21031.47,82006.7
May 2024,335,82.24,136.22,12944.76,17956.07,76534.53
June 2024,331,42.13,222.36,8627.78,17319.69,99548.63
July 2024,335,88.02,346.41,6396.54,39190.32,161634.21
August 2024,313,65.06,160.51,18458.24,21792.93,90490.8
September 2024,342,82.48,268.03,18506.27,36761.4,146933.93
October 2024,311,88.25,290.4,14496.52,28934.16,133745.08
November 2024,2500,50.67,159.41,10085.45,33844.34,93346.89
December 2024,332,37.15,282.05,10238.14,25079.11,128957.85
